Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reset,Chrome 120.0.0.0,,,01-01-2024 19:23:45,01-01-2024 19:25:27,1m - 42.098s,PASSED
,,,,,,,
Test Cases/Profile,Chrome 120.0.0.0,,,01-01-2024 19:23:46,01-01-2024 19:25:27,1m - 41.810s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,01-01-2024 19:23:46,01-01-2024 19:23:48,2.110s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,01-01-2024 19:23:48,01-01-2024 19:23:51,3.264s,PASSED
"click(findTestObject(""Object Repository/1 email""))",Chrome 120.0.0.0,,,01-01-2024 19:23:51,01-01-2024 19:23:52,0.493s,PASSED
"setText(findTestObject(""Object Repository/2 user id""), email)",Chrome 120.0.0.0,,,01-01-2024 19:23:52,01-01-2024 19:23:53,0.782s,PASSED
"setEncryptedText(findTestObject(""Object Repository/3 password""), ""tcoL0gTvL8A="")",Chrome 120.0.0.0,,,01-01-2024 19:23:53,01-01-2024 19:23:53,0.600s,PASSED
"click(findTestObject(""Object Repository/4 sign in""))",Chrome 120.0.0.0,,,01-01-2024 19:23:53,01-01-2024 19:23:54,0.376s,PASSED
delay(5),Chrome 120.0.0.0,,,01-01-2024 19:23:54,01-01-2024 19:23:59,5.064s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"")",Chrome 120.0.0.0,,,01-01-2024 19:23:59,01-01-2024 19:24:01,2.149s,PASSED
"click(findTestObject(""profile yang ingin dihapus""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:01,01-01-2024 19:24:02,0.741s,PASSED
"click(findTestObject(""profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:02,01-01-2024 19:24:03,1.246s,PASSED
"click(findTestObject(""profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:03,01-01-2024 19:24:04,0.571s,PASSED
"click(findTestObject(""profile yang ingin dihapus""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:04,01-01-2024 19:24:05,1.089s,PASSED
"click(findTestObject(""profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:05,01-01-2024 19:24:06,1.248s,PASSED
"click(findTestObject(""profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:06,01-01-2024 19:24:06,0.479s,PASSED
"click(findTestObject(""profile yang ingin dihapus""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:06,01-01-2024 19:24:07,1.058s,PASSED
"click(findTestObject(""profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:07,01-01-2024 19:24:09,1.167s,PASSED
"click(findTestObject(""profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:09,01-01-2024 19:24:09,0.466s,PASSED
"click(findTestObject(""profile yang ingin dihapus""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:09,01-01-2024 19:24:10,0.942s,PASSED
"click(findTestObject(""profile delete""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:10,01-01-2024 19:24:11,1.243s,PASSED
"click(findTestObject(""profile delete confirm""), OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:11,01-01-2024 19:24:12,0.570s,PASSED
"navigateToUrl(""https://www.netflix.com/profiles/manage"", OPTIONAL)",Chrome 120.0.0.0,,,01-01-2024 19:24:12,01-01-2024 19:24:13,1.111s,PASSED
