Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Reset Pin,Chrome 120.0.0.0,,,02-01-2024 13:16:33,02-01-2024 13:18:24,1m - 51.507s,PASSED
,,,,,,,
Test Cases/TC Pin,Chrome 120.0.0.0,,,02-01-2024 13:16:33,02-01-2024 13:18:24,1m - 50.910s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,02-01-2024 13:16:34,02-01-2024 13:16:36,2.118s,PASSED
"navigateToUrl(""https://www.netflix.com/id/login"")",Chrome 120.0.0.0,,,02-01-2024 13:16:36,02-01-2024 13:16:40,3.645s,PASSED
"click(findTestObject(""Object Repository/Login/1 email""))",Chrome 120.0.0.0,,,02-01-2024 13:16:40,02-01-2024 13:16:40,0.490s,PASSED
"setText(findTestObject(""Object Repository/Login/2 user id""), email)",Chrome 120.0.0.0,,,02-01-2024 13:16:40,02-01-2024 13:16:41,0.779s,PASSED
"setText(findTestObject(""Object Repository/Login/3 password""), password)",Chrome 120.0.0.0,,,02-01-2024 13:16:41,02-01-2024 13:16:42,0.818s,PASSED
"click(findTestObject(""Object Repository/Login/4 sign in""))",Chrome 120.0.0.0,,,02-01-2024 13:16:42,02-01-2024 13:16:42,0.374s,PASSED
delay(2),Chrome 120.0.0.0,,,02-01-2024 13:16:42,02-01-2024 13:16:44,2.042s,PASSED
"navigateToUrl(""https://www.netflix.com/YourAccount"")",Chrome 120.0.0.0,,,02-01-2024 13:16:44,02-01-2024 13:16:50,5.399s,PASSED
"click(findTestObject(""Pin/pin expand button 1""))",Chrome 120.0.0.0,,,02-01-2024 13:16:50,02-01-2024 13:16:50,0.557s,PASSED
"click(findTestObject(""Pin/pin change 1""))",Chrome 120.0.0.0,,,02-01-2024 13:16:50,02-01-2024 13:16:52,1.467s,PASSED
"setText(findTestObject(""Pin/pin input password""), password)",Chrome 120.0.0.0,,,02-01-2024 13:16:52,02-01-2024 13:16:53,1.162s,PASSED
"click(findTestObject(""Pin/pin input password continue""))",Chrome 120.0.0.0,,,02-01-2024 13:16:53,02-01-2024 13:16:53,0.531s,PASSED
"if (verifyElementNotPresent(findTestObject(""Pin/pin input A""), 2, OPTIONAL))",Chrome 120.0.0.0,,,02-01-2024 13:16:53,02-01-2024 13:16:56,2.452s,PASSED
else,Chrome 120.0.0.0,,,02-01-2024 13:16:56,02-01-2024 13:17:06,10.222s,PASSED
"click(findTestObject(""Pin/pin expand button 2""))",Chrome 120.0.0.0,,,02-01-2024 13:17:06,02-01-2024 13:17:08,2.186s,PASSED
"click(findTestObject(""Pin/pin change 2""))",Chrome 120.0.0.0,,,02-01-2024 13:17:08,02-01-2024 13:17:09,1.145s,PASSED
"setText(findTestObject(""Pin/pin input password""), password)",Chrome 120.0.0.0,,,02-01-2024 13:17:09,02-01-2024 13:17:10,0.913s,PASSED
"click(findTestObject(""Pin/pin input password continue""))",Chrome 120.0.0.0,,,02-01-2024 13:17:10,02-01-2024 13:17:11,0.448s,PASSED
"if (verifyElementNotPresent(findTestObject(""Pin/pin input A""), 2, OPTIONAL))",Chrome 120.0.0.0,,,02-01-2024 13:17:11,02-01-2024 13:17:13,2.377s,PASSED
else,Chrome 120.0.0.0,,,02-01-2024 13:17:13,02-01-2024 13:17:24,11.079s,PASSED
"click(findTestObject(""Pin/pin expand button 3""))",Chrome 120.0.0.0,,,02-01-2024 13:17:24,02-01-2024 13:17:26,2.118s,PASSED
